Number	Label	Label V2.x	Text	Full description
1	DESPC	READNP	22	Paragraph count, number of paragraphs
2	DESSC	READNS	45	Sentence count, number of sentences
3	DESWC	READNW	1059	Word count, number of words
4	DESPL	READAPL	2.045	Paragraph length, number of sentences in a paragraph, mean
5	DESPLd	n/a	1.090	Paragraph length, number of sentences in a pragraph, standard deviation
6	DESSL	READASL	23.711	Sentence length, number of words, mean
7	DESSLd	n/a	15.437	Sentence length, number of words, standard deviation
8	DESWLsy	READASW	1.645	Word length, number of syllables, mean
9	DESWLsyd	n/a	0.958	Word length, number of syllables, standard deviation
10	DESWLlt	n/a	4.932	Word length, number of letters, mean
11	DESWLltd	n/a	2.671	Word length, number of letters, standard deviation
12	PCNARz	n/a	-0.990	Text Easability PC Narrativity, z score
13	PCNARp	n/a	16.110	Text Easability PC Narrativity, percentile
14	PCSYNz	n/a	-0.775	Text Easability PC Syntactic simplicity, z score
15	PCSYNp	n/a	22.060	Text Easability PC Syntactic simplicity, percentile
16	PCCNCz	n/a	0.527	Text Easability PC Word concreteness, z score
17	PCCNCp	n/a	69.850	Text Easability PC Word concreteness, percentile
18	PCREFz	n/a	-1.277	Text Easability PC Referential cohesion, z score
19	PCREFp	n/a	10.200	Text Easability PC Referential cohesion, percentile
20	PCDCz	n/a	-0.365	Text Easability PC Deep cohesion, z score
21	PCDCp	n/a	35.940	Text Easability PC Deep cohesion, percentile
22	PCVERBz	n/a	0.217	Text Easability PC Verb cohesion, z score
23	PCVERBp	n/a	58.320	Text Easability PC Verb cohesion, percentile
24	PCCONNz	n/a	-1.087	Text Easability PC Connectivity, z score
25	PCCONNp	n/a	14.010	Text Easability PC Connectivity, percentile
26	PCTEMPz	n/a	-0.630	Text Easability PC Temporality, z score
27	PCTEMPp	n/a	26.430	Text Easability PC Temporality, percentile
28	CRFNO1	CRFBN1um	0.341	Noun overlap, adjacent sentences, binary, mean
29	CRFAO1	CRFBA1um	0.409	Argument overlap, adjacent sentences, binary, mean
30	CRFSO1	CRFBS1um	0.477	Stem overlap, adjacent sentences, binary, mean
31	CRFNOa	CRFBNaum	0.190	Noun overlap, all sentences, binary, mean
32	CRFAOa	CRFBAaum	0.284	Argument overlap, all sentences, binary, mean
33	CRFSOa	CRFBSaum	0.289	Stem overlap, all sentences, binary, mean
34	CRFCWO1	CRFPC1um	0.052	Content word overlap, adjacent sentences, proportional, mean
35	CRFCWO1d	n/a	0.076	Content word overlap, adjacent sentences, proportional, standard deviation
36	CRFCWOa	CRFPCaum	0.029	Content word overlap, all sentences, proportional, mean
37	CRFCWOad	n/a	0.054	Content word overlap, all sentences, proportional, standard deviation
38	LSASS1	LSAassa	0.205	LSA overlap, adjacent sentences, mean
39	LSASS1d	LSAassd	0.043	LSA overlap, adjacent sentences, standard deviation
40	LSASSp	LSApssa	0.159	LSA overlap, all sentences in paragraph, mean
41	LSASSpd	LSApssd	0.117	LSA overlap, all sentences in paragraph, standard deviation
42	LSAPP1	LSAppa	0.163	LSA overlap, adjacent paragraphs, mean
43	LSAPP1d	LSAppd	0.118	LSA overlap, adjacent paragraphs, standard deviation
44	LSAGN	LSAGN	0.186	LSA given/new, sentences, mean
